amfi_code,scheme_name,category,hhi
119092,Axis Bluechip Fund - Regular - Growth,Equity,0.29676909
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,0.25499194
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,0.25315499999999996
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,0.25138255
149323,DSP Midcap Fund - Regular - Growth,Equity,0.24107664
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,0.23869504
118635,Nippon India ETF Nifty 50 BeES,Equity,0.23749676999999994
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,0.23236120000000002
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,0.23146434000000002
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,0.22764744
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,0.22750834999999997
101207,ABSL Small Cap Fund - Regular - Growth,Equity,0.22272651000000002
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,0.22121302999999998
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,0.22120032000000003
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,0.21808585
120841,Kotak Bluechip Fund - Regular - Growth,Equity,0.21589315000000003
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,0.20725894
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,0.20124814999999996
149324,DSP Small Cap Fund - Regular - Growth,Equity,0.18870082000000002
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,0.18808485
119093,Axis Bluechip Fund - Direct - Growth,Equity,0.1842332
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,0.18269533000000002
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,0.18216749999999998
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,0.18071201999999997
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,0.18058808000000004
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,0.18004225000000004
119094,Axis Midcap Fund - Regular - Growth,Equity,0.17510025
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,0.17241088
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,0.16206189
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,0.16029923999999998
119095,Axis Small Cap Fund - Regular - Growth,Equity,0.15958229000000002
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,0.14249103999999999
120843,Kotak Flexicap Fund - Regular - Growth,Equity,0.13620616000000002
102886,UTI Mid Cap Fund - Regular - Growth,Equity,0.12402024
